reporting_month,account_id,product,tenure_months,credit_limit,spend,balance,revolve_balance,delinquency_bucket
2023-01-01,100000,Low APR,15,10000,0.0,2640.94,0.0,Current
2023-01-01,100001,Travel Reward,52,1000,0.0,384.63,161.4,Current
2023-01-01,100002,Student,17,10000,441.66,3420.23,0.0,Current
2023-01-01,100003,Travel Reward,72,15000,179.74,3648.57,0.0,Current
2023-01-01,100004,Cashback,16,25000,36.29,1863.7,1137.25,Current
2023-01-01,100005,Cashback,26,2500,41.45,1290.92,1055.22,Current
2023-01-01,100006,Travel Reward,37,15000,0.0,1700.57,190.7,Current
2023-01-01,100007,Travel Reward,50,1000,638.38,224.51,0.0,Current
2023-01-01,100008,Student,102,5000,0.0,2871.06,1854.19,Current
2023-01-01,100009,Student,100,5000,155.13,466.22,0.0,Current
2023-01-01,100010,Cashback,86,1000,800.0,2.21,0.33,Current
2023-01-01,100011,Travel Reward,53,5000,0.0,322.22,70.89,Current
2023-01-01,100012,Low APR,112,5000,0.0,792.02,0.0,Current
2023-01-01,100013,Low APR,55,1000,342.12,530.82,0.0,1-29 DPD
2023-01-01,100014,Student,101,2500,0.0,1516.16,992.62,Current
2023-01-01,100015,Cashback,67,2500,0.0,399.45,264.5,Current
2023-01-01,100016,Travel Reward,90,10000,150.46,3372.66,1341.64,Current
2023-01-01,100017,Cashback,88,5000,0.0,1074.28,556.84,Current
2023-01-01,100018,Cashback,14,10000,8.69,293.31,0.0,Current
2023-01-01,100019,Cashback,108,5000,0.0,1791.11,0.0,Current
2023-01-01,100020,Cashback,115,2500,895.39,591.76,0.0,Current
2023-01-01,100021,Cashback,52,5000,0.0,4500.0,4500.0,Charge-off
2023-01-01,100022,Low APR,83,2500,346.91,727.04,0.0,Current
2023-01-01,100023,Low APR,29,15000,792.57,348.09,237.01,Current
2023-01-01,100024,Low APR,31,1000,0.0,323.06,123.27,Current
2023-01-01,100025,Low APR,103,5000,1142.4,1913.04,0.0,Current
2023-01-01,100026,Travel Reward,80,10000,127.6,1804.97,1129.06,Current
2023-01-01,100027,Cashback,38,2500,30.28,804.79,279.79,Current
2023-01-01,100028,Cashback,29,25000,346.79,5573.6,0.0,Current
2023-01-01,100029,Travel Reward,34,5000,0.0,2063.36,0.0,Current
2023-01-01,100030,Cashback,61,5000,48.22,2039.36,1546.83,Current
2023-01-01,100031,Travel Reward,93,2500,148.16,820.37,398.02,Current
2023-01-01,100032,Travel Reward,57,2500,95.32,826.19,429.0,Current
2023-01-01,100033,Low APR,42,15000,46.74,5275.52,638.02,Current
2023-01-01,100034,Travel Reward,99,5000,0.0,2114.19,1193.22,Current
2023-01-01,100035,Cashback,44,15000,43.29,295.01,215.07,60-89 DPD
2023-01-01,100036,Travel Reward,21,5000,107.75,1907.5,0.0,Current
2023-01-01,100037,Cashback,84,10000,645.53,2400.7,561.84,Current
2023-01-01,100038,Travel Reward,65,2500,179.13,1156.05,335.42,Current
2023-01-01,100039,Cashback,40,5000,47.33,2440.79,1225.64,Current
2023-01-01,100040,Travel Reward,56,5000,22.84,1510.43,550.64,Current
2023-01-01,100041,Cashback,74,2500,200.43,528.71,92.1,Current
2023-01-01,100042,Low APR,15,2500,17.8,929.24,559.37,Current
2023-01-01,100043,Cashback,115,2500,0.0,569.98,0.0,Current
2023-01-01,100044,Cashback,8,5000,993.62,1987.88,1313.96,Current
2023-01-01,100045,Travel Reward,92,2500,0.0,895.39,0.0,Current
2023-01-01,100046,Student,72,5000,0.0,1757.73,0.0,Current
2023-01-01,100047,Low APR,90,2500,209.54,432.44,232.74,Current
2023-01-01,100048,Student,24,5000,404.31,1833.0,1454.37,Current
